temperatura,humedad,ruido,clase
30,35,49,-1
49,35,25,-1
11,55,55,-1
37,55,7,-1
1,48,44,-1
30,45,39,-1
39,43,41,-1
11,43,29,-1
16,54,6,-1
-15,53,20,-1
36,54,33,-1
16,52,35,-1
48,41,34,-1
8,47,10,-1
12,43,15,-1
0,39,21,-1
49,51,46,-1
18,52,52,-1
19,55,47,-1
-15,47,10,-1
31,46,50,-1
38,53,46,-1
6,47,18,-1
3,35,32,-1
-5,43,46,-1
-14,51,14,-1
7,53,33,-1
-15,40,18,-1
42,49,33,-1
48,38,10,-1
35,40,38,-1
-5,42,13,-1
-3,53,18,-1
49,36,50,-1
34,50,49,-1
19,37,37,-1
7,46,23,-1
41,44,23,-1
4,43,55,-1
50,40,6,-1
8,44,19,-1
17,44,42,-1
44,50,17,-1
46,38,28,-1
37,45,19,-1
14,55,35,-1
6,46,31,-1
-13,37,17,-1
1,46,7,-1
51,45,52,-1
-2,55,50,-1
-15,40,12,-1
7,40,27,-1
4,47,31,-1
32,42,23,-1
40,35,40,-1
-7,51,48,-1
35,44,28,-1
-5,46,40,-1
20,47,21,-1
17,44,47,-1
-7,52,47,-1
38,42,23,-1
6,40,30,-1
50,35,11,-1
49,35,16,-1
47,55,34,-1
11,43,48,-1
-9,44,14,-1
50,40,31,-1
3,41,32,-1
-5,39,32,-1
35,41,50,-1
3,35,43,-1
32,41,39,-1
-5,50,54,-1
18,47,11,-1
-10,37,20,-1
44,46,14,-1
-10,35,26,-1
7,38,50,-1
-16,49,26,-1
45,46,25,-1
-8,36,53,-1
-12,46,40,-1
33,35,48,-1
47,39,54,-1
-4,37,15,-1
-3,38,28,-1
14,51,29,-1
-5,55,25,-1
49,40,34,-1
-16,46,46,-1
43,47,12,-1
-6,46,48,-1
44,53,27,-1
2,35,40,-1
13,50,9,-1
16,38,48,-1
37,40,55,-1
3,49,19,-1
11,35,42,-1
18,55,40,-1
6,53,6,-1
35,51,54,-1
4,51,43,-1
9,43,45,-1
-18,41,49,-1
18,54,36,-1
17,41,33,-1
14,39,40,-1
3,53,52,-1
-14,49,54,-1
15,38,24,-1
43,43,46,-1
-10,53,37,-1
1,55,35,-1
44,42,55,-1
20,39,18,-1
13,36,41,-1
-18,52,12,-1
-12,42,34,-1
-5,50,30,-1
-17,47,7,-1
9,46,24,-1
0,40,7,-1
45,52,29,-1
40,49,35,-1
45,47,8,-1
-15,46,48,-1
19,44,21,-1
-15,53,45,-1
51,37,18,-1
35,40,31,-1
14,38,27,-1
47,38,31,-1
-9,51,23,-1
33,41,24,-1
-6,54,38,-1
39,49,35,-1
13,47,31,-1
12,36,16,-1
-15,54,34,-1
41,42,13,-1
7,50,37,-1
16,51,10,-1
20,43,8,-1
-8,44,35,-1
3,41,37,-1
9,51,14,-1
42,37,16,-1
9,37,43,-1
-18,43,37,-1
1,42,46,-1
43,54,54,-1
49,48,11,-1
0,38,10,-1
0,40,35,-1
-8,35,47,-1
32,36,17,-1
31,48,38,-1
19,41,25,-1
32,54,39,-1
33,42,30,-1
-2,36,44,-1
20,43,23,-1
37,46,25,-1
48,42,47,-1
41,49,8,-1
-10,53,8,-1
8,48,41,-1
-3,47,37,-1
-14,42,40,-1
34,53,31,-1
12,43,51,-1
2,42,22,-1
-18,40,23,-1
-7,52,20,-1
13,40,31,-1
36,53,25,-1
4,41,49,-1
9,45,25,-1
-15,46,25,-1
-16,44,21,-1
0,39,20,-1
-2,39,19,-1
43,46,32,-1
30,39,19,-1
12,55,33,-1
41,44,10,-1
1,41,35,-1
33,49,12,-1
38,50,41,-1
46,55,41,-1
-12,49,55,-1
33,43,50,-1
3,49,14,-1
-2,35,49,-1
-14,52,22,-1
37,52,22,-1
-4,47,45,-1
44,47,39,-1
11,36,29,-1
37,50,46,-1
-14,51,20,-1
-7,54,26,-1
36,50,40,-1
3,53,48,-1
0,55,11,-1
42,43,39,-1
-4,54,36,-1
-4,40,46,-1
3,51,55,-1
37,38,46,-1
-6,50,31,-1
48,43,20,-1
38,47,15,-1
-7,45,41,-1
-14,42,32,-1
-14,53,54,-1
-8,52,31,-1
20,48,13,-1
-4,40,13,-1
39,38,18,-1
46,53,20,-1
-18,44,44,-1
20,53,12,-1
-1,35,6,-1
46,40,14,-1
38,39,9,-1
35,35,37,-1
37,50,51,-1
48,52,52,-1
-1,51,25,-1
1,43,10,-1
6,46,46,-1
-16,52,43,-1
19,35,52,-1
-16,49,9,-1
32,37,11,-1
44,45,55,-1
-14,45,9,-1
13,46,18,-1
3,36,11,-1
-7,47,6,-1
10,52,22,-1
-16,41,28,-1
39,50,29,-1
-14,50,52,-1
9,49,54,-1
-6,49,40,-1
-17,49,15,-1
13,42,51,-1
32,55,19,-1
43,54,7,-1
31,50,22,-1
6,36,11,-1
-10,48,45,-1
15,51,23,-1
14,47,42,-1
31,42,23,-1
-6,53,49,-1
-14,50,40,-1
-2,46,16,-1
46,43,13,-1
3,49,28,-1
16,44,12,-1
34,35,15,-1
-12,46,28,-1
48,37,51,-1
-3,55,17,-1
-17,48,48,-1
30,40,10,-1
32,43,22,-1
8,55,34,-1
45,50,44,-1
12,44,32,-1
10,37,14,-1
-5,45,22,-1
-13,48,43,-1
20,45,43,-1
20,37,53,-1
-15,41,50,-1
32,36,31,-1
16,55,21,-1
4,48,22,-1
1,46,37,-1
-4,50,47,-1
-12,49,20,-1
-13,38,39,-1
33,42,48,-1
33,42,54,-1
51,38,40,-1
15,44,33,-1
-17,38,46,-1
10,35,21,-1
-1,38,21,-1
15,40,21,-1
9,40,10,-1
37,35,48,-1
48,50,44,-1
14,50,23,-1
3,39,8,-1
40,49,36,-1
34,47,29,-1
19,50,40,-1
8,37,25,-1
32,41,19,-1
0,51,23,-1
13,39,10,-1
48,46,22,-1
7,52,54,-1
36,52,31,-1
-2,35,27,-1
-5,46,22,-1
35,37,8,-1
-15,42,33,-1
30,48,11,-1
-18,45,39,-1
-10,53,7,-1
-18,55,32,-1
37,54,17,-1
10,39,9,-1
41,51,45,-1
10,50,55,-1
4,36,20,-1
49,55,9,-1
-12,39,44,-1
49,50,14,-1
-13,50,6,-1
11,37,42,-1
-12,45,8,-1
1,49,10,-1
10,41,50,-1
-2,36,16,-1
33,37,15,-1
-5,49,53,-1
-12,46,34,-1
4,42,20,-1
-12,43,34,-1
18,55,41,-1
-11,53,51,-1
-6,52,43,-1
1,41,38,-1
31,39,22,-1
50,49,18,-1
10,48,34,-1
